	1	2	coeff
104	MA0107.1	RELA	0.654751551272
202	MA0510.2	RFX5	0.642930940285
288	MA0691.1	TFAP4	0.636096348397
289	MA0692.1	TFEB	0.626272809029
152	MA0162.3	EGR1	0.618683467403
199	MA0508.1	PRDM1	0.616986875022
243	MA0641.1	ELF4	0.609599130625
304	MA0710.1	NOTO	0.604147630755
118	MA0132.2	PDX1	0.603857957931
256	MA0655.1	JDP2	0.602220955591
339	MA0749.1	ZBED1	0.598954352807
266	MA0665.1	MSC	0.596511054054
412	MA0823.1	HEY1	0.589215966855
84	MA0093.2	USF1	0.586799486158
477	MA0914.1	ISL2	0.583537682226
338	MA0748.1	YY2	0.58352799241
397	MA0807.1	TBX5	0.575151977436
238	MA0636.1	BHLHE41	0.566350875114
120	MA0137.1	STAT1	0.563873811752
449	MA0871.1	TFEC	0.55596059972
163	MA0466.2	CEBPB	0.554811678482
47	MA0057.1	MZF1(var.2)	0.554623817749
20	MA0030.1	FOXF2	0.552837620517
533	MA1418.1	IRF3	0.544152266295
429	MA0842.1	NRL	0.527094826709
401	MA0811.1	TFAP2B	0.525730430628
210	MA0524.1	TFAP2C	0.510660619363
457	MA0886.1	EMX2	0.504682752474
481	MA1103.1	FOXK2	0.501902107969
221	MA0596.1	SREBF2	0.500535722901
532	MA1155.1	ZSCAN4	0.499039790123
443	MA0863.1	MTF1	0.49258893598
165	MA0469.2	E2F3	0.491595539659
260	MA0659.1	MAFG	0.491205680945
296	MA0699.1	LBX2	0.491130837506
385	MA0795.1	SMAD3	0.488892870935
494	MA1116.1	RBPJ	0.486407954904
263	MA0662.1	MIXL1	0.484586519762
186	MA0491.1	JUND	0.481101153287
178	MA0481.1	FOXP1	0.478850523527
468	MA0900.1	HOXA2	0.478451994211
419	MA0831.1	TFE3	0.472385296426
25	MA0033.2	FOXL1	0.469824543033
437	MA0850.1	FOXP3	0.469824543033
434	MA0847.1	FOXD2	0.469824543033
435	MA0848.1	FOXO4	0.469824543033
436	MA0849.1	FOXO6	0.469824543033
34	MA0042.2	FOXI1	0.469824543033
241	MA0639.1	DBP	0.458354384877
265	MA0664.1	MLXIPL	0.457488899664
461	MA0890.1	GBX2	0.454269140961
191	MA0496.2	MAFK	0.449948051263
196	MA0504.1	NR2C2	0.449795969116
258	MA0657.1	KLF13	0.448259177719
253	MA0652.1	IRF8	0.443018013636
447	MA0867.1	SOX4	0.437445242603
22	MA0032.1	FOXC1	0.435617954544
31	MA0037.3	GATA3	0.431938427567
276	MA0675.1	NKX6-2	0.425291759865
287	MA0690.1	TBX21	0.421966447627
269	MA0668.1	NEUROD2	0.414148159346
470	MA0902.1	HOXB2	0.413885196598
215	MA0526.2	USF2	0.410711153932
168	MA0472.2	EGR2	0.409292076303
262	MA0661.1	MEOX1	0.40329994043
492	MA1114.1	PBX3	0.403230578624
116	MA0131.1	HINFP	0.393730188899
496	MA1118.1	SIX1	0.380363521172
42	MA0051.1	IRF2	0.375579491162
405	MA0815.1	TFAP2C(var.3)	0.374934571751
407	MA0818.1	BHLHE22	0.368436046377
